OBJECTID,SITE_NO,geo_point_2d
47636,4842,"-37.88220583861591, 144.98259592569065"
47657,4866,"-37.977601842032, 145.03462090639218"
47668,4813,"-37.809746838115316, 144.9928569317906"
47671,4816,"-37.81055483938993, 145.00065093061758"
47686,3617,"-37.651793833540665, 144.93046196006588"
47711,3391,"-37.820285838216684, 144.989588931465"
47712,3392,"-37.82303383840448, 144.98911093076487"
47727,3943,"-37.81392284670723, 145.11556790999785"
47735,3957,"-37.92081884014737, 145.0057009172677"
47744,3982,"-37.672532838585425, 145.00173794493557"
47770,3604,"-37.718775832826246, 144.9202389546139"
47772,3606,"-37.75808483331191, 144.92646494885918"
47774,3609,"-37.74617183275634, 144.91162295283877"
47779,3631,"-37.92811383923188, 144.99407491914226"
47786,630,"-37.81018985863502, 145.28822588028268"
47791,3050,"-37.73816783420257, 144.9372779491706"
47798,1768,"-37.796990863884446, 145.3656778681543"
47804,4901,"-37.8265428351973, 144.94597393799467"
47816,3460,"-37.81884883637962, 144.95487893728514"
47834,2337,"-37.924888841853964, 145.02626191385355"
47845,4777,"-37.855198839256076, 145.002056925377"
47847,4779,"-37.84868483984366, 145.0077959246832"
47857,3340,"-37.71945284361214, 145.0812039264784"
47866,3351,"-37.6374818513687, 145.19439291588648"
47880,4700,"-37.93063684902263, 145.13594589341042"
47885,4706,"-37.942825849545414, 145.136665892663"
47887,4407,"-37.79866183671572, 144.96729393717396"
47891,4411,"-37.79605383675443, 144.97075593764652"
47918,3542,"-37.831251834989, 144.94444593822993"
47983,4152,"-37.82887383904842, 144.99736192905448"
48051,4732,"-37.820798833305126, 144.9206259429691"
48061,4744,"-37.83984383868105, 144.99859992711427"
48068,4687,"-37.76957083921761, 145.0009939350851"
48076,2970,"-37.78261683958334, 145.00960193236884"
48078,2980,"-37.83297583990705, 145.01531092515123"
48101,4231,"-37.80512383208186, 144.90424894813384"
48104,3023,"-37.89569383861406, 144.98993292316246"
48106,3025,"-37.903800839215066, 144.9884269221556"
48122,2155,"-37.704529836076986, 144.9606909491433"
48124,2159,"-37.66721483468996, 144.9551069543339"
48161,423,"-37.88070485101244, 145.16562289431891"
48182,6197,"-36.74891078459907, 144.2895621628447"
48199,4213,"-37.77956583782708, 144.98290993712092"
48255,4676,"-37.773816837811836, 144.9904869363513"
48273,4621,"-37.933016843436214, 145.04860290847066"
48277,4625,"-37.95800684347995, 145.05707690416006"
48313,4399,"-37.804881836695195, 144.96621793747224"
48319,4343,"-37.87731084369342, 145.05929991329543"
48329,3381,"-37.79792383888714, 144.99328893351276"
48379,949,"-37.986103849515615, 145.13661988735734"
48386,2293,"-37.84196483471014, 144.93922193810621"
48394,5136,"-38.15207979844868, 144.36139000527837"
48405,3253,"-37.57532481865591, 144.72815100302168"
48419,1139,"-37.779109859451395, 145.29380388315533"
48427,4859,"-37.881252839122716, 144.995397923394"
48450,3120,"-37.821377843540226, 145.058598919398"
48455,3483,"-37.84484382469061, 144.78873796373628"
48467,3383,"-37.80497783865122, 144.99213593215654"
48480,524,"-38.36781283560781, 144.90419188694256"
48487,174,"-37.87637585682981, 145.25766287837612"
48492,40089,"-37.68610984255339, 145.0569529339052"
48497,7541,"-38.070702852881695, 145.18328987050234"
48513,1189,"-37.708616833978006, 144.93803395290627"
48525,4797,"-37.715979838441925, 145.00302993988396"
48621,1009,"-37.7857948332324, 144.91972794756842"
48623,5279,"-37.83942382168358, 144.74708897199534"
48628,1160,"-38.12870685386906, 145.1804838637726"
48643,2579,"-37.727839823796806, 144.78990797650772"
48653,5152,"-38.12916779536165, 144.32680401424832"
48660,2623,"-37.77788082387481, 144.77370897383705"
48661,3718,"-37.90472283975532, 144.99646592089553"
48714,2019,"-38.243263843809544, 145.0300058783838"
48715,3914,"-37.83090684316301, 145.0527949190278"
48751,874,"-37.841905857563745, 145.26562988113565"
48754,3971,"-37.851160840360066, 145.0120359242719"
48756,5133,"-38.105721795606016, 144.32083401771587"
48781,2989,"-37.82393083647324, 144.96449593552842"
48782,3359,"-37.67448584946631, 145.1613789170705"
48721,6231,"-36.75316978433131, 144.27806416481667"
48794,2187,"-37.68701283496504, 144.9576889508997"
48725,2583,"-37.69916382324455, 144.78067398065463"
48798,5322,"-37.91585181545342, 144.63870598199713"
48815,2409,"-37.85777683852248, 144.9922449269578"
48825,3436,"-37.796829833725, 144.9229809452131"
48854,528,"-38.150219850472126, 145.12967387030034"
48862,6655,"-38.234978940593585, 146.39203863948873"
48856,2177,"-37.694109830178036, 144.8754059646683"
48941,3296,"-37.74562486239766, 145.3373538787989"
49004,40038,"-37.71704282975393, 144.87322496277358"
48885,2036,"-37.756637833993985, 144.93152594847697"
49014,40050,"-37.703035830677806, 144.89164796081948"
48911,5295,"-37.82224882678983, 144.82239596054947"
48913,6701,"-38.562917964393854, 146.67593254981722"
48918,978,"-38.320200822432604, 144.71460892518317"
49076,3090,"-37.75586084270473, 145.063310925923"
48961,6074,"-36.413711857479356, 145.39229101495633"
49105,3656,"-37.81688483956307, 145.00877592886977"
48971,6269,"-36.745442785056866, 144.28804016419434"
49163,3095,"-37.757525862638666, 145.34423787635228"
48977,3588,"-37.70230383213191, 144.91523095721155"
49183,5183,"-36.75260378429844, 144.2837681633329"
49194,40477,"-37.7018718254531, 144.8064309757576"
49008,40043,"-37.70576783097357, 144.88702796152324"
49240,40236,"-37.918087851922756, 145.1710738885486"
49244,40241,"-37.92182985212694, 145.17585388829798"
49245,40242,"-37.922240851726954, 145.1758108876881"
49028,2607,"-37.78133082983864, 144.8654209566757"
49271,40271,"-37.958100855034395, 145.22260187586966"
49276,40278,"-37.9610288556191, 145.2274848745669"
49057,2018,"-37.85858785247774, 145.19641589081562"
49283,40281,"-37.96956585653673, 145.2362418721465"
49292,40290,"-37.98152185658247, 145.2447988688741"
49080,2697,"-37.79156982279335, 144.76231497368192"
49330,2063,"-37.72756582345826, 144.782008976946"
49097,5340,"-37.784141865290124, 145.37867586833926"
49379,2033,"-37.65711683969513, 145.02012794410922"
49104,5162,"-38.241414797190025, 144.33359900090707"
49382,6633,"-38.478943910019055, 145.94727268847342"
49121,1505,"-37.86673882248686, 144.74805596881623"
49388,1712,"-38.0858858534935, 145.183339868382"
49132,5351,"-38.229450797029166, 144.3359660016948"
49394,1304,"-37.648785842562155, 145.06614293688085"
49150,1238,"-37.98841185453186, 145.20968887424053"
49407,1535,"-37.848092856605255, 145.24604388426084"
49175,101,"-38.029433849892925, 145.1319798837061"
49178,5324,"-37.829583818203304, 144.6918559816794"
49483,5163,"-37.561609761676024, 143.85632815498835"
49179,5323,"-37.87495181997032, 144.7181449728536"
49488,5160,"-37.4856608092111, 144.58982503579676"
49489,1244,"-38.19941987530651, 145.4906048015264"
49543,5321,"-37.8460538192821, 144.70716797763725"
49546,2470,"-37.88260483951699, 145.00628392202535"
49550,1635,"-37.82427282960599, 144.85823795337137"
49582,1270,"-37.76815882536303, 144.79779497063305"
49588,1287,"-37.717019829678804, 144.87403996308484"
49589,1145,"-38.146395850473915, 145.13335787057062"
49605,6003,"-36.37674685764963, 145.39875601797195"
49611,1532,"-37.85806482109426, 144.73061397226934"
49621,1500,"-37.872453822005255, 144.74883296774814"
49627,3527,"-37.855580830470835, 144.86720894927245"
